255,255,255
0,0,0
255,0,0
0,255,0
0,0,255
255,192,192
255,128,128
255,64,64
204,0,0
153,0,0
102,0,0
51,0,0
192,255,192
128,255,128
64,255,64
0,204,0
0,153,0
0,102,0
0,51,0
192,192,255
128,128,255
64,64,255
0,0,204
0,0,153
0,0,102
0,0,51
255,255,192
255,255,128
255,255,64
255,255,0
204,204,0
153,153,0
102,102,0
51,51,0
192,255,255
128,255,255
64,255,255
0,255,255
0,204,204
0,153,153
0,102,102
0,51,51
255,192,255
255,128,255
255,64,255
255,0,255
204,0,204
153,0,153
102,0,102
51,0,51
255,234,192
255,211,128
255,188,64
255,165,0
204,132,0
153,99,0
102,66,0
224,192,224
192,128,192
160,64,160
128,0,128
76,0,76
50,0,50
24,0,24
204,204,204
153,153,153
102,102,102
51,51,51
50,150,150
100,200,200
220,60,120
160,80,80
