204,0,0
579,113,111

153,0,0
506,111,103

102,0,0
414,104,98

51,0,0
354,93,92

255,127,0
658,180,108

204,102,0
590,149,100

153,77,0
513,130,97

102,52,0
430,115,100

51,27,0
357,105,92

255,255,0
661,326,121

204,204,0
623,293,118

153,153,0
528,220,104

102,102,0
420,152,95

51,51,0
333,115,90

0,204,0
367,223,120

0,153,0
360,212,116

0,102,0
341,178,112

0,51,0
310,124,101

0,0,204
297,138,186

0,0,153
295,127,153

0,0,102
294,112,122

0,0,51
293,103,101

75,0,130
325,129,182

60,0,104
323,120,164

45,0,78
304,110,128

30,0,52
302,106,112

15,0,26
308,104,104

148,0,211
401,136,189

118,0,169
390,133,189

88,0,127
351,119,176

58,0,85
321,117,145

28,0,43
305,104,104

204,204,204
611,286,262

153,153,153
528,216,194

102,102,102
414,144,129

51,51,51
334,109,100
